datetime,event,length
2/9/2024 7:31 PM,cry,29
2/9/2024 8:00 PM,sleep,37
2/9/2024 8:37 PM,cry,28
2/9/2024 9:05 PM,sleep,5
2/9/2024 9:10 PM,cry,28
2/9/2024 9:38 PM,sleep,22
2/9/2024 10:00 PM,feed,25
2/9/2024 10:25 PM,sleep,269
2/10/2024 2:54 AM,ANC,6
2/10/2024 3:00 AM,feed,18
2/10/2024 3:18 AM,ANC,2
2/10/2024 3:20 AM,sleep,150
2/10/2024 5:50 AM,ANC,10
2/10/2024 6:00 AM,cry,20
2/10/2024 6:20 AM,feed,20
2/10/2024 6:40 AM,ANC,15
2/10/2024 6:55 AM,sleep,20
