datetime,event,length
2/6/2024 7:30 PM,cry,66
2/6/2024 8:36 PM,sleep,36
2/6/2024 9:12 PM,cry,33
2/6/2024 9:45 PM,sleep,15
2/6/2024 10:00 PM,feed,23
2/6/2024 10:23 PM,cry,20
2/6/2024 10:42 PM,sleep,1
2/6/2024 10:43 PM,cry,4
2/6/2024 10:47 PM,sleep,190
2/7/2024 1:57 AM,cry,18
2/7/2024 2:15 AM,feed,19
2/7/2024 2:34 AM,ANC,4
2/7/2024 2:38 AM,cry,14
2/7/2024 2:52 AM,sleep,1
2/7/2024 2:53 AM,cry,11
2/7/2024 3:04 AM,sleep,5
2/7/2024 3:09 AM,cry,1
2/7/2024 3:10 AM,sleep,92
2/7/2024 4:41 AM,ANC,9
2/7/2024 4:50 AM,sleep,57
2/7/2024 5:47 AM,cry,15
2/7/2024 6:02 AM,feed,27
2/7/2024 6:29 AM,ANC,12
2/7/2024 6:41 AM,sleep,31
