datetime,event,length
2/12/2024 7:43 PM,cry,5
2/12/2024 7:48 PM,sleep,32
2/12/2024 8:20 PM,cry,44
2/12/2024 9:04 PM,sleep,10
2/12/2024 9:14 PM,cry,18
2/12/2024 9:32 PM,sleep,29
2/12/2024 10:03 PM,feed,15
2/12/2024 10:18 PM,sleep,181
2/13/2024 1:19 AM,ANC,14
2/13/2024 1:33 AM,cry,28
2/13/2024 2:01 AM,feed,19
2/13/2024 2:20 AM,sleep,116
2/13/2024 4:16 AM,ANC,5
2/13/2024 4:21 AM,cry,16
2/13/2024 4:37 AM,sleep,99
2/13/2024 6:16 AM,ANC,11
2/13/2024 6:27 AM,cry,3
2/13/2024 6:30 AM,feed,20
