datetime,event,length
2/10/2024 7:31 PM,cry,9
2/10/2024 7:40 PM,ANC,6
2/10/2024 7:46 PM,sleep,132
2/10/2024 9:58 PM,feed,16
2/10/2024 10:14 PM,sleep,232
2/11/2024 2:06 AM,ANC,3
2/11/2024 2:09 AM,feed,20
2/11/2024 2:29 AM,ANC,1
2/11/2024 2:30 AM,sleep,259
2/11/2024 6:49 AM,ANC,7
