datetime,event,length
2/7/2024 7:27 PM,cry,40
2/7/2024 8:07 PM,sleep,31
2/7/2024 8:38 PM,cry,35
2/7/2024 9:13 PM,sleep,9
2/7/2024 9:22 PM,cry,12
2/7/2024 9:34 PM,sleep,10
2/7/2024 9:44 PM,ANC,10
2/7/2024 9:54 PM,sleep,6
2/7/2024 10:00 PM,feed,20
2/7/2024 10:20 PM,sleep,275
2/8/2024 2:55 AM,cry,7
2/8/2024 3:02 AM,feed,20
2/8/2024 3:22 AM,ANC,6
2/8/2024 3:28 AM,sleep,213
